@relation relation_name
@attribute Number1 real
@attribute Number2 real
@attribute Number3 real
@attribute Number4 real
@attribute Number5 real
@attribute Number6 real
@attribute Number7 real
@attribute Number8 real
@attribute Number9 real
@attribute Number10 real
@attribute Number11 real
@attribute Number12 real
@attribute Number13 real
@attribute Number14 real
@attribute Number15 real
@attribute Number16 real
@attribute Number17 real
@attribute Number18 real
@attribute Number19 real
@attribute Number20 real
@attribute Number21 real
@attribute Number22 real
@attribute Number23 real
@attribute Number24 real
@attribute Number25 real
@attribute Number26 real
@attribute Number27 real
@attribute Number28 real
@attribute Number29 real
@attribute Number30 real
@attribute Number31 real
@attribute Number32 real
@attribute Number33 real
@attribute Number34 real
@attribute Number35 real
@attribute Number36 real
@attribute Number37 real
@attribute Number38 real
@attribute Number39 real
@attribute Number40 real
@attribute class {True, False}
@data
-0.14883386,0.3560331,-0.9050713,-0.15595646,-1.047409,-0.92194915,-0.3581778,0.28658915,0.44299924,0.6071819,-0.029824778,-0.57891357,0.21631140000000001,0.21576878,-0.12950024,-0.28770345,-1.0658793,-0.39502978,-0.16321543,-0.6669356,0.5300251,0.13135962,-0.7295853,-0.52534276,0.32446579999999997,-1.1846956,0.5508253000000001,1.6985754000000002,-0.8166255,-0.7152231,-1.1919468999999998,-2.036124,0.9353101,-0.14687334,-1.0155898,-0.004118005300000001,-1.52465,0.7815918000000001,-0.53220093,0.83751416,False
-0.7734324,0.36921012,-0.2698056,0.8915427,0.031420897999999996,-0.48263335,0.14279352,0.48587704,-0.5938840999999999,-0.57249576,0.5184292,-0.5172502,-0.20829925,0.45210603,-0.11155603,0.6470661,-0.6837209,-0.043456107,0.8185935000000001,-0.24104834,0.58944637,-0.18144831,0.48253724,-0.7863508000000001,-1.4054083,-0.4798598,0.5257453000000001,2.0413759,-0.4696349,1.663864,1.2964792,0.5896406,-1.2357546999999998,-0.25578243,0.15867208,0.9462722,0.100803465,1.4396108,-0.25705364,-2.5907857000000005,False
0.2355928,-0.15444613,-0.60750705,-0.9327284,0.22729555,0.6448546,0.68167585,1.2888818000000002,0.4728923,0.26992008,0.5966338999999999,-0.28496283,-0.5862282,1.005243,-0.0753946,-0.6029926999999999,-1.1849915000000002,0.13869306,-0.9353443000000001,-0.13605131,-0.019865725,0.40754634,-1.0394993000000001,-0.9210959999999999,-1.3507413000000001,-0.09844494,0.273986,1.6764709999999998,-0.33152843,1.8864409,0.42790443,0.40988767,0.95886993,1.2932951000000001,-0.9210988999999999,1.1136278999999998,0.13135625,-0.7104712,0.5004469,-1.0940148,False
-0.0012771395,0.10414591,-0.8514735000000001,-0.20628396,-1.189298,-1.1097304,-0.46527299999999994,0.31798425,0.46560806,0.33094615,-0.12753248,-0.54562926,0.21584058,0.23581485,-0.20309316,-0.29938793,-1.1010023000000002,-0.19548385,-0.22049792,-0.65059286,-0.7879604,-0.5750397,-0.095899545,1.0668459,0.10593283,0.37849963,1.282091,0.47573328,3.1790917000000003,0.43955594,1.9054626000000001,-1.8778436,0.2733427,0.7509684,0.08936528,0.89704716,0.33845544,1.5999926000000002,-0.39461085,-0.46224087,False
-0.7097379,0.3832122,-0.117729634,0.69683045,-0.16016692,-0.50884044,0.18151115,0.4082928,-0.41745374,-0.61831987,0.7456995,-0.5570884,-0.29752009999999995,0.35685290000000003,-0.13740829999999998,0.47990337,-0.6512219,0.018540078999999998,0.6924701,-0.25110796,0.035013385,-0.31496707,-0.23787583,-0.16998333,-1.4846002,-0.66658545,0.9459021000000001,0.5087868,-0.067036375,0.1604628,-0.1291807,-0.18592167,-0.04335186,0.8223790000000001,-0.2543782,-0.6439357,-0.016664186,0.07104476,-0.41959772,-0.47631505,False
-0.24320948,0.11605730000000002,-0.8043531999999999,-0.058615647,-0.8210656,-0.9716482,-0.46249527,0.23944898,0.48938832,0.4411152,-0.1658667,-0.49660704,0.47506282,0.24224223,-0.24542497,-0.10448523,-0.9862223,-0.17370848,-0.16905841,-0.63407034,-0.100608945,0.14738663,-0.8208409999999999,-0.24568932,-0.91082764,-0.9696369,-0.23622268,0.17778017,0.31536862,0.44544247,-0.03936923,-0.50386506,0.28450912,0.30402368,-0.12927954,-0.15780999,-0.95353067,-0.2480601,-0.10325138,-0.7047531,True
-0.7610432,0.7306457,0.011284896,-0.29748848,0.024896382999999998,-0.79856706,0.02540694,1.2552096000000001,0.40582532,0.88503724,0.40714809999999996,-0.84976906,-0.14631888,0.8111834,1.4117012,0.080963895,0.20119709,0.29597417,-0.44086915,-0.99957526,-0.7874066999999999,0.59461963,0.29962796,-0.29227793,0.06014153,-0.6555251999999999,0.19072066,1.100096,0.096762925,0.65318644,0.2710018,-0.98979825,0.09720534,0.7951625,1.1702143999999999,0.16192913,0.043847933,0.24585064,-0.43846682,-0.72854483,True
0.32036182,-0.090378776,-0.72543335,0.8930334000000001,0.4824308,-1.099229,-0.2870293,0.5424209,-0.44290757,-0.12807363,0.24395604,-0.46597102,-0.13988050000000002,1.5807034,0.5949769,0.089515,0.71995634,0.28277874,-0.011732564,-0.71127504,0.37752090000000005,0.44341403,-0.90147036,1.7522964,-1.8219775000000002,-0.9274698,0.8747222,0.35170895,-0.43594787,-0.97908026,0.97617376,-0.58900607,-0.6571274,1.9020823,0.2684765,2.6290753,-2.6734736,0.049360607,-1.3952183,0.31771535,False
-0.08959724,0.1418441,-0.7030496999999999,-0.11881284,-0.8962886,-1.2093878,-0.42274615,0.19353157,0.3669114,0.50402373,-0.10044789,-0.51979196,0.4257333,0.24634373,-0.22216971,-0.22333074,-1.0773523,-0.28069574,-0.3145571,-0.8103469,-0.100608945,0.14738663,-0.8208409999999999,-0.24568932,-0.91082764,-0.9696369,-0.23622268,0.17778017,0.31536862,0.44544247,-0.03936923,-0.50386506,0.28450912,0.30402368,-0.12927954,-0.15780999,-0.95353067,-0.2480601,-0.10325138,-0.7047531,True
-0.9433074,-0.34457424,-1.4925684,0.40702203,-1.6823165,0.23104712,0.15749842,0.73950195,0.095715925,-0.3680808,0.43586034,-0.38201693,-0.7291887,0.96569675,-0.08083454,-0.57493114,-0.42327848,-0.073314145,-0.8764783000000002,-1.016826,0.37554434,-0.66094005,-0.1560093,0.5535164,-0.634196,0.25045797,-0.34476322,1.4491489,0.05872682,0.015547031999999999,0.57343227,-0.7631045,0.3939841,-0.023213647,0.3537132,0.19295307,0.21241824,-0.37730163,0.90464514,0.42387453,False
