@relation relation_name
@attribute Number1 real
@attribute Number2 real
@attribute Number3 real
@attribute Number4 real
@attribute Number5 real
@attribute Number6 real
@attribute Number7 real
@attribute Number8 real
@attribute Number9 real
@attribute Number10 real
@attribute Number11 real
@attribute Number12 real
@attribute Number13 real
@attribute Number14 real
@attribute Number15 real
@attribute Number16 real
@attribute Number17 real
@attribute Number18 real
@attribute Number19 real
@attribute Number20 real
@attribute Number21 real
@attribute Number22 real
@attribute Number23 real
@attribute Number24 real
@attribute Number25 real
@attribute Number26 real
@attribute Number27 real
@attribute Number28 real
@attribute Number29 real
@attribute Number30 real
@attribute Number31 real
@attribute Number32 real
@attribute Number33 real
@attribute Number34 real
@attribute Number35 real
@attribute Number36 real
@attribute Number37 real
@attribute Number38 real
@attribute Number39 real
@attribute Number40 real
@attribute Number41 real
@attribute Number42 real
@attribute Number43 real
@attribute Number44 real
@attribute Number45 real
@attribute Number46 real
@attribute Number47 real
@attribute Number48 real
@attribute Number49 real
@attribute Number50 real
@attribute Number51 real
@attribute Number52 real
@attribute Number53 real
@attribute Number54 real
@attribute Number55 real
@attribute Number56 real
@attribute Number57 real
@attribute Number58 real
@attribute Number59 real
@attribute Number60 real
@attribute Number61 real
@attribute Number62 real
@attribute Number63 real
@attribute Number64 real
@attribute Number65 real
@attribute Number66 real
@attribute Number67 real
@attribute Number68 real
@attribute Number69 real
@attribute Number70 real
@attribute Number71 real
@attribute Number72 real
@attribute Number73 real
@attribute Number74 real
@attribute Number75 real
@attribute Number76 real
@attribute Number77 real
@attribute Number78 real
@attribute Number79 real
@attribute Number80 real
@attribute class {True, False}
@data
0.05322779,-0.37684777,-0.7876696999999999,-0.40512404,-0.6792402,0.29924044,-0.38303524,0.7026819000000001,1.1367364,-0.44609842,0.14454313,0.39611185,-0.2612708,0.1085423,-0.4371834,-0.096150845,0.20927663,0.12200666,-0.09393454,-0.42679232,-0.7129770000000001,-0.38988304,0.7506165,0.17076127,0.01159512,0.6075291,-0.7493084,0.19836336,-0.16611177,0.08692131,-0.28502733,0.4763545,-0.07875309,0.09949067,0.25545016,0.9131144,-0.45501342,-0.07276341,-0.13089971,-0.15740642,-0.41051859999999996,0.22333285,0.76265407,0.24120419,-1.3909948,2.2471653999999996,0.06324494,0.08614886599999999,1.4601005,0.22777332,-1.3081391000000002,0.73702013,0.45093679999999997,0.27197328,-0.09022908,-1.1996208000000002,0.41112012,0.93171775,0.8660856,1.1522868999999998,-0.59801674,0.7476651,0.86061394,0.11932219,0.039123394,0.46396002,-0.5433625,-0.91053677,0.10144897,0.7602689,0.041086987,0.5644135,-0.07623833,-0.371797,0.6589792,-0.13135959,-0.05987236,1.4765043,-0.04216188,-1.4131916000000002,False
0.43812555,-0.090408325,-0.0066694305,0.14928725,-0.81989497,0.36791757,0.49378535,0.584413,0.7097314,0.3996741,-0.25691545,-0.55134887,0.56012094,-0.14078033,0.23874225,-0.6710520000000001,0.39344555,-0.15825820000000002,-0.20325866,-0.13237852,0.23005441,-0.4507875,0.19487968,0.14700086,0.097353384,0.067951925,-0.6402734,0.46002164,0.116403945,-0.5904146,-0.41738662,-0.17534353,-0.41010308,-0.029413243999999998,-0.41028944,-0.07895708,-0.16421276,-0.22095184,0.7118971,-0.09484023,-0.63619053,-0.54635656,-0.82406366,0.07276226599999999,-1.7008685000000001,0.03339362,0.39218396,0.2928275,0.29123387,-0.24063699,-0.35014927,0.52158386,0.19494773,0.14866057,-0.40359285,0.5516996999999999,-0.011018558999999999,0.5809138,0.7852706,-0.23506898,-0.43315926,1.5838538,-1.9774126,-0.64279646,1.0381851999999998,-0.8419404,-0.95784056,-0.8367316999999999,-0.27649254,0.026124832999999997,-0.60543287,-0.063388735,0.5759773,-0.07463716,-0.10449451,0.5292545999999999,-0.49897894,-0.52715576,1.4747381000000002,0.6730153,False
0.2681099,-0.91506994,-0.11393019,-0.04034342,-0.52507377,0.37861496,0.32477957,0.19570158,0.22589685,-0.51192385,-0.13609497,1.3357223999999999,-0.52835995,0.15201883,-0.4048833,-0.15780821,-0.06500247,0.7627435,0.3961655,0.68953735,-0.09453937,-0.33085912,-0.07113736,-0.6965505,-0.06797051400000001,0.3901087,-0.025021442999999997,0.57541776,-0.31237847,-0.3540629,-1.5345203,0.26813403,0.4862674,0.6475125,-0.006518159,0.4301182,-0.11043425,1.0426008,0.5413245,0.6267243,-0.25411418,-0.9365214,-0.88656956,0.4610773,-1.1746587,0.36413917,-0.0020960453,-0.34739742,0.39189953,-0.75192475,-0.40019208,-0.45461544,0.21815115,1.2452517,0.07695305,0.47971094,-0.022848306000000002,-0.18359894,0.35296908,0.36758834,-0.86808646,-1.1750038,-0.7755451999999999,0.12788571,1.1795316,-0.88967466,-1.6234468,-0.41849849999999994,-1.699918,0.8189255,-0.96348476,-0.3916745,0.4462416,0.016602778999999998,-0.8877120999999999,1.0945433,-0.38984507,-0.04384616400000001,0.17004664,0.021932913,False
0.11483508,-0.13286632,-0.98320353,-0.32056192,-0.7125516,0.49563092,-0.24139492,0.5870455,0.95366156,-0.16386569,0.21200994,0.3646605,0.015117773000000001,0.3729763,-0.43452728,-0.006811711999999999,0.22146137,0.13166144,0.0007162022500000001,-0.49494788,-0.97859293,-0.10633269,0.6542011,-0.005131721,-0.16949722,0.7800024,-0.9215771,-0.0067414630000000005,-0.37926346,0.0034453243,0.11368357,0.43437985,-0.49036270000000004,0.20944215,0.22671418,0.5966965999999999,-0.61500305,0.02088673,-0.15137453,-0.1636058,-0.12525152,1.1445673,-0.13934429,1.8161492,-0.31248268,-0.08615391,0.70297855,0.4729238,1.4614148999999999,-0.93395734,-0.070466444,0.9535169,-0.5218364000000001,1.383518,1.7366905,-2.0686478999999998,-0.72609836,1.9090699,0.23367077,-0.3377044,-0.2676383,-0.55909944,0.77741337,-0.59884244,0.152503,-0.40261152,-1.3190713,-0.51256543,0.74253243,0.46329063,0.874762,-0.6187929,1.4054497,0.08366280000000001,-0.29983926,-1.4221583999999998,0.10165214,-0.27858499999999997,0.5197224,0.09257124,False
0.2500765,-0.2928176,0.07465853,0.32711965,-0.68569636,0.28456038,0.6617647,0.3941912,0.6825791999999999,0.28037646,-0.34112203,-0.83722204,0.33701846,0.13523458,0.2610649,-0.74303323,0.33089122,0.21276642,-0.42594495,-0.28095640000000005,0.18119274,-0.36352754,0.026553594,0.17570259,0.08219143,0.03940443,-0.6411641,0.40383905,0.19307229,-0.5302253,-0.15632324,-0.14879906,-0.37742656,-0.10530841,-0.33203793,-0.058799565,0.07400825,-0.027791545,0.654361,-0.14751793,0.20050292,-0.23029070000000001,-0.9219609000000001,0.3855845,-0.42444137,0.6280416999999999,0.08655103,-0.009395501,0.39350727,-0.65744865,0.614762,-0.23808369,-0.097410426,0.8155818,0.10267988,0.14516069,-0.17701295,0.5144172,-0.5996484000000001,0.28952414,-0.8759705,0.14514884,-0.40169558,-0.27971187,-0.50861377,0.111969545,-0.11473628,0.09053093,-0.27561942,-0.17314877,-0.21150072,-0.15509966,-0.11194277,0.37112844,0.44337106,-0.020834353,-0.37608635,-0.2517916,0.23745525,-0.21613067,False
-0.10237521,0.062011458,-0.83518034,-0.42819017,-0.53357023,0.35491642,-0.34385794,0.789184,0.83334064,-0.25302744,0.11763756,0.53615713,-0.1568591,0.42390020000000006,-0.25022614,-0.28103217,0.15206229999999998,0.14826499,0.06089314,-0.23350796,-0.7152637,-0.37014980000000003,0.62249357,0.034782086000000004,-0.107335135,0.66980183,-0.9680479999999999,0.11379885,-0.23420335,0.21190473,-0.019778498000000002,0.42199197,-0.3073578,-0.18181825,0.18825327,0.6658383000000001,-0.50861967,-0.088935554,-0.065474436,-0.11282949,0.11663843,-0.15327512,-0.66147995,-0.33285713,-0.52552664,0.22725545,-0.16310112,0.7246739999999999,0.8363951999999999,-0.27606840000000005,0.24527575,0.32426766,-0.107593566,0.30030918,-0.17380336,-0.045817617000000005,0.08513874,0.07883303,-0.071289256,-0.31338722,-0.91698474,-0.18309222,0.44490534,0.072358005,-0.17376895,0.5153615,-0.67281365,0.27366948,-0.32918665,0.023469215,-0.1169703,0.23431462,-0.30126244,0.028716804,0.19300453,0.6734895000000001,-0.47985566,0.07312602,-0.023346132000000002,-0.10166152,True
0.18141691,0.028625237,-0.18521145,0.73940825,-0.15630084,0.6251315,0.53348213,0.7362856,-0.16903114,-0.7649083999999999,-0.10286935400000001,-0.18884543,0.38595640000000003,0.26467526,-0.33520755,-0.66248703,-0.20792148,0.29746994,0.34915250000000003,-0.4914835,-0.38662179999999996,0.39943781,-0.21143113,-0.88055795,0.038560435,-0.31603867,-1.2723817,-0.044469707000000004,0.21228117,0.4163669,0.1377556,0.3753802,-0.637107,0.8516087999999999,-0.94446015,0.71034145,-1.3064584,0.005655224,0.02357931,0.73370576,0.15747379999999997,0.14202207,-0.059157677,0.6669153,-0.20622599,0.6692015,0.3417295,0.60846317,-0.17566097,-0.8244763,-0.063136645,-0.2231833,0.37218562,0.11684392,-0.17916559,-0.48983923,-0.047373797999999995,0.39186242,0.38471186,-0.22160113,-0.30091196,0.40694752,-0.22845468,-0.4431799,0.058778185,-0.20783205,-1.115693,0.12491193,0.32306936,0.08297494,-0.021899229,0.3261906,-0.5267345999999999,0.6970885,-0.7680672,0.60299015,-1.1569538000000001,0.13455379999999997,0.084453955,0.5837266999999999,True
-0.0590034,0.09221492,-0.0715113,0.009830026,-0.36583632,-0.05180968,1.1065927,0.75086254,0.00055446697,0.34024614,0.97298014,-0.60719156,0.10832412,-0.2779703,-0.32893649999999997,-1.0437943,-0.21860602,-0.38406125,-0.0699577,0.49577647,-0.15561005,-0.76747465,-0.9803876,-0.6469417,-1.467475,-0.47376660000000004,-0.40949845,0.047691199999999996,0.029771818,0.26475978,-0.060685504,-0.120556474,0.045606985999999995,0.27949446,-0.57143295,0.7526633,-0.64176625,0.5849422,-0.16099891,-0.20651558,0.75886166,-0.51076066,-0.7890588000000001,0.74300694,-0.6058244,-0.043833422999999996,-0.21375068,0.56412494,1.8479301,-0.33003843,-0.26165962,-1.2548499,2.0058599999999998,-0.69172686,-0.8214087999999999,-1.3131235,-0.52023333,0.85658437,0.12397688,1.2879473999999997,-1.1595052,-1.2128315,1.1569091999999999,0.7849586999999999,0.37277806,0.056186,-1.21574,-0.32620057,-2.1370583,-0.789991,1.001339,-0.564696,1.5022262,0.44935042,-0.83065015,0.62829953,0.36427426,-1.0424632999999999,1.3280326999999998,-0.7243255,False
0.23079532,-0.12720019999999999,-0.6232514,-0.36195797,-0.83039695,0.040553942,-0.40101668,0.83255494,0.96209574,-0.3633903,0.31727496,0.34807402,-0.24882914,0.34456390000000003,-0.19057328,0.1587161,0.24498828,0.25902998,0.02853265,-0.36369609999999997,-0.99449575,0.0680771,0.47009444,0.06041558,-0.104011334,0.5999041,-0.88107723,0.15351263,-0.36329275,-0.15296717,-0.23586021,0.4599588,-0.24883676,-0.0007637534,0.14779744,0.63462335,-0.6862689000000001,-0.05545863,-0.10794273,-0.29406902,0.11663843,-0.15327512,-0.66147995,-0.33285713,-0.52552664,0.22725545,-0.16310112,0.7246739999999999,0.8363951999999999,-0.27606840000000005,0.24527575,0.32426766,-0.107593566,0.30030918,-0.17380336,-0.045817617000000005,0.08513874,0.07883303,-0.071289256,-0.31338722,-0.91698474,-0.18309222,0.44490534,0.072358005,-0.17376895,0.5153615,-0.67281365,0.27366948,-0.32918665,0.023469215,-0.1169703,0.23431462,-0.30126244,0.028716804,0.19300453,0.6734895000000001,-0.47985566,0.07312602,-0.023346132000000002,-0.10166152,True
0.16373256,-0.62769127,-1.8594311000000001,0.6647932,0.08117086,0.75476754,0.7696006,-0.12496093,0.49698168,-0.43909264,0.15089443,0.5128603,0.17741823,0.49086788,-0.34416965,-0.76843154,0.5250106,-0.31566516,-0.7117321999999999,0.14704192,-0.2456591,0.1924985,0.110698245,-0.65892947,0.11746894,0.23803085,-0.17444365,0.41073295,-0.36116309999999996,-0.6609376,-0.46537890000000004,-0.01535873,0.44763002,0.8438758,0.170027,0.88367575,0.20751620000000004,-0.524174,0.97141874,0.034581803,-0.19643953,-0.35377592,0.013340129,1.0062414000000002,-0.9466299000000001,0.37396666,-0.11131543,0.09608721,0.25392482,-0.0032109783000000003,0.17239441,0.13512354,0.42587823,0.5350809,-0.31175804,-0.35783947,-0.035859194,-0.38697523,0.60585856,-0.6686519000000001,0.58999634,-0.67338794,-0.09626476,-0.06771664,-0.4587116,-0.45516062,-0.18785964,0.17875727,-0.23855102,-0.37090555,0.02454674,-0.024319049,0.29066625,-0.3878258,0.44831459999999995,-0.34493062,-0.28921694,-0.4865248,-0.48040104,0.073303774,False
