Number1,Number2,Number3,Number4,Number5,Number6,Number7,Number8,Number9,Number10,Number11,Number12,Number13,Number14,Number15,Number16,Number17,Number18,Number19,Number20,Number21,Number22,Number23,Number24,Number25,Number26,Number27,Number28,Number29,Number30,Number31,Number32,Number33,Number34,Number35,Number36,Number37,Number38,Number39,Number40,Number41,Number42,Number43,Number44,Number45,Number46,Number47,Number48,Number49,Number50,Number51,Number52,Number53,Number54,Number55,Number56,Number57,Number58,Number59,Number60,Number61,Number62,Number63,Number64,Number65,Number66,Number67,Number68,Number69,Number70,Number71,Number72,Number73,Number74,Number75,Number76,Number77,Number78,Number79,Number80,Number81,Number82,Number83,Number84,Number85,Number86,Number87,Number88,Number89,Number90,Number91,Number92,Number93,Number94,Number95,Number96,Number97,Number98,Number99,Number100,Number101,Number102,Number103,Number104,Number105,Number106,Number107,Number108,Number109,Number110,Number111,Number112,Number113,Number114,Number115,Number116,Number117,Number118,Number119,Number120,class
0.22187646,-0.5066832,0.15717687,0.5452882,-0.07031799999999999,0.67533535,0.13343981,-0.44127813,-0.0029378366,0.30793503,0.7751984000000001,-0.2567159,0.007216843299999999,-0.1084142,0.20927204,-0.5050369,0.5437392,0.12932555,-0.6150036,0.094342366,0.44774842,-0.07238492,-0.060106684,0.1506371,0.14770968,0.11315984,0.7180621,0.29218414,-0.15331306,-0.10426223,0.088629425,-0.84980905,-0.19261749,-0.32809183,-0.35104883,0.6445251000000001,-0.06714051,0.19454408,-0.1257733,-0.28194509999999995,-0.35678944,-0.18686296,-0.39603573,-0.008701588,-0.3786945,0.76028156,0.075181976,-0.24632694,-0.018964586999999998,0.9747642,-0.5634077,0.10163314,0.21660845,-0.38561925,-0.25388837,-0.19146653,-0.88722485,-0.5530884,-0.23537059,0.036344673,1.2013934,1.194194,-0.383325,-0.15564919,0.36697292,-0.33878976,0.059082046,-0.2621404,-0.02734886,-0.28535315,0.7726249,-0.47110057,-1.3504919,0.6330168,0.74085796,-1.1212033000000001,-1.1928777,1.168175,-0.9589946,-0.020206535,-0.010924463,1.0509727,-0.56675947,-0.7200191,-0.104499996,0.38468623,0.6735423,-0.6920890000000001,0.1622495,-1.0411952,-0.21317892,0.4152559,-0.013072638999999999,0.04738030000000001,0.25435704,1.1359868999999998,0.2590568,0.098068245,0.6763393,-0.06975698,-0.1011828,0.024677282000000002,-0.44035894,-0.23299384,-0.75742453,0.59186655,-0.4206513,-0.6599107,0.6383399000000001,0.16740929,-0.21105899,-0.1752737,-1.2426128,-0.9332534,1.0432642,0.18103552,-1.2929563999999998,0.64486104,0.663147,1.1148334999999998,0
-0.108385816,-0.72618836,0.07442699400000001,0.25254679999999996,0.81388384,0.15385213,0.35543856,0.11806318,0.34342983,0.13195042,0.07153121400000001,0.42416346,0.016997727,0.21312587,0.5477414,-0.3947474,0.27511445,-0.021304714,0.22124445,-0.021138337000000004,-0.034497205,0.32817778,-0.24701193,-0.43660188,-0.069461495,0.23004542,0.016469838,-0.17771511,0.6012642,-0.5767266,0.6551912,0.032101136,0.40033796,-0.08036723,-0.6507829,-0.31454045,-0.049757443,-0.23093905,0.3059975,-0.19748087,-0.17328013,-0.6022426,0.75493217,-0.20033854,-0.18492436,0.23054429999999998,-0.38405459999999997,0.61704206,-0.8158184,0.21547462,0.13577899999999998,0.00032555853,-0.13523093,-0.20605300000000001,0.51288784,0.3084244,-0.5621436,0.24371102,-0.21955828,-0.20060341,0.15522446,-0.341519,-0.18439901,-0.22304516,0.38868394,-0.75486803,-0.16543011,0.5577131,0.70646363,-0.6340209,0.75292444,-0.69706416,-0.3919848,1.9643681,0.6887234999999999,0.6805143,-0.042901885,-0.49577257,-0.6085619999999999,-0.33678725,0.4457041,0.6579600999999999,-0.52434397,0.67738754,0.30044478,0.7090496000000001,0.5862141,-0.72853893,-0.24635094,0.24864537,0.71077174,-0.30890122,0.42100227,0.51646155,1.0531906,-0.14537285,0.05281078,0.7151335,-0.5006028,0.5150437,0.6102359,0.68132883,-0.72677785,0.025556042999999997,-0.30913773,1.3515681,-0.70940465,1.2403108,-0.46634945,0.030022833,-0.44949427,-0.46974713,0.58093995,-0.75913197,-0.0819104,-0.13655218,-0.055357512000000005,-0.34903437,-0.9706004999999999,-0.6017845,0
0.9929689,-0.010411848000000001,0.26922932,-0.5692788000000001,0.16542006,0.8033009,0.2024332,-0.2762855,0.7060799,-0.37782553,0.5136005,0.28335422,-0.45284024,0.98430395,-0.12137617,0.11344065,0.06746266,0.2657657,0.06645821,-0.32788843,-0.45149648,-0.21461819,-1.1549455,0.16042326,0.59606177,-0.1738246,0.53300387,-0.7053456,1.0566666999999998,-0.420691,-0.16805896,-0.6503076999999999,-0.06300719,-0.10112275,0.26736704,0.10645044599999999,0.14478675,-0.63067126,-0.10239161599999999,-0.014359977,-0.38356495,0.24830012,-0.61031425,0.35516062,-0.04327337,0.36177483,0.25198862,-0.0093391705,0.03677153,1.0064478000000001,-0.58797985,-0.011016265,0.59992546,0.13208538,0.8447723,0.1902647,0.54997134,-0.23548870000000002,0.18606701,-0.42384259999999996,0.75997114,0.056015007,0.44167623,0.039306138,0.6447354999999999,-0.586176,0.37834173,-0.36108205,1.2386628,0.31287882,0.63864887,0.11630512,-1.0925923999999998,0.5949598,0.7637065,0.69809806,0.41227254,0.31363850000000004,-1.6018665,-0.68552536,0.20947494,0.75772244,0.7194706999999999,1.2336094,-0.79594535,-0.17608759,-0.0043192036,0.47075343,-0.77915376,-0.07927804,0.37195846,0.002054172,1.2417629,-0.52887833,0.8096770000000001,0.1791017,0.5055234000000001,0.17398667,0.44830254,0.1333201,0.27858449999999996,-0.14716072,0.10535651,-1.062402,-0.83405143,1.3544729,0.11196794,-0.2150886,-0.5555437,0.77917343,-0.27907926,-0.3779848,0.7912551,-0.31986950000000003,0.6653145,-0.23177503,-0.40835238,-1.2474431000000001,-0.67644715,-0.41321027,0
0.1223137,-0.33781859999999997,0.09031298,0.6914435,-0.07503135,0.6723887,-0.22963779999999998,-0.28659135,0.11828228,0.34444976,0.31495354,-0.0635684,-0.14052829,-0.079252295,0.27336848,-0.30272847,0.3091696,0.25705984,-0.5087794,0.104028285,0.834642,-0.06524858,-0.00605348,-0.20065367,0.28757232,-0.14360097,0.63743794,0.1046546,-0.02111376,-0.096210636,0.07511942,-0.63505167,-0.32525918,-0.52528346,-0.44505802,0.5062095999999999,-0.011850198999999999,0.25460145,-0.3726967,0.11037409,-0.17646062,-0.2156462,-0.41117817,-0.05166601,-0.1659444,0.92763525,-0.12577826,-0.05627425,0.13710435,0.9054858,-0.49522346,0.06674830000000001,0.29228565,-0.53038913,-0.019834297,-0.072263815,-1.0322742,-0.23089189999999998,-0.26775584,0.20220916,1.3987031,0.24241897,0.58557713,0.88225234,0.38430482,-0.056117244000000004,0.022734938,1.2387489,-0.32447709999999996,0.5342956999999999,0.7188414000000001,1.7048875,0.40247859999999996,1.4997143999999998,0.9127685999999999,-0.74596435,0.98977137,0.79827696,-0.21651320000000002,0.2993352,0.4730326,-0.5654986999999999,-0.9408354999999999,1.1194807,-0.021620046,-0.08022236,-0.82258344,0.0053245006000000004,-0.36965165,-0.12233815,-1.29233,0.22901203,-0.066773295,-0.095690444,0.43263176,0.9521857,0.07645336,0.1351299,-1.2485288,-0.46853915,0.08517192,-0.5208064,0.65287024,-0.36914240000000004,0.44394269999999997,1.3195115,0.53224796,1.3578874,-0.7821823,0.07885843,-0.09276685,-1.1486762,-0.9415872999999999,0.023045008999999998,0.22584333,-0.90891063,-0.4670113,0.45531207,0.71735924,1.3113451,0
0.053767648,-0.55472475,-0.12568699,0.15612131,0.76823926,0.07919513,0.28524822,0.3129027,0.17679463,0.12522382,0.34461847,0.20798367,-0.052982565,0.028656984,0.40346694,-0.14149302,0.035292875,0.21116649,0.35795516,0.09896625,-0.12843005,0.5276613,-0.2354427,-0.409472,0.13267529,0.27569893,0.018107062,-0.04114217,0.29072216,-0.6122545,0.6778092,-0.01680093,0.24932764,-0.20526078,-0.601212,-0.2529901,-0.0034743168,-0.10917318599999999,-0.016862294,-0.19179344,-0.124233544,-0.695033,0.7446666999999999,-0.45110443,-0.18650441,0.42366827,-0.28806242,0.40873703,-0.96076316,-0.042655144000000006,0.31302765,-0.21492979,-0.3290139,-0.09746592,0.28995502,0.36918995,-0.5252751,0.046259685999999994,0.12797159,-0.13190496,0.40369317,-0.18645042,-0.0006799728,-0.068719044,0.12360496,0.6452836,-0.1740253,-0.12332785,0.34444347,0.3740279,0.5357791000000001,0.29545105,-0.15055034,0.4006039,0.051961664000000005,0.13086954,0.18012916,-0.44732937,-0.46180429999999995,-0.08940978,-0.07082365,-0.033202138,0.45819324,-0.12591423,0.29132620000000004,0.4297838,-0.0059579704,-0.86678374,-0.34454840000000003,-0.10691502,-0.0054025309999999995,-0.025832307000000002,0.5303743000000001,-0.2927075,-0.16103102,-0.33816203,-0.025593538,-0.09200569,-0.61652225,0.31913754,-0.13110387,0.061619457,0.32602529999999996,-0.047979947,0.3468922,0.35341623,0.08318106,-0.28283969999999997,-0.19752546,0.13518728,-0.7316486999999999,-0.83343834,0.48596300000000003,-0.27199212,-0.3243723,0.05174456,-0.87974435,-0.099731825,-0.03298872,0.038892627,0
0.37126923,-0.2027938,0.02475338,0.63293225,-0.101168185,0.52594435,0.06793049,-0.3452876,0.049208432,0.55218333,0.074075155,-0.12879609,0.1571326,-0.20029356,0.5140319999999999,-0.5010300999999999,0.40850714,0.11368747,-0.6453675,-0.15229024,0.76390636,-0.086162955,-0.11832460000000002,-0.11796093,0.016987436,0.18990453,0.7083311,0.20805749999999998,-0.15884992,-0.10347806,-0.08187645,-0.5531577,-0.058204702999999997,-0.31785282,-0.36533862,0.7354016,-0.10942878,0.23696520000000001,-0.20911838,-0.22282994,-0.13981071,-0.37836352,-0.3141295,-0.029587557999999996,-0.44499440000000007,0.926541,0.10982304,0.20949899,0.27054518,0.8815620000000001,-0.38139218,0.014870085,0.43325508,-0.4632205,-0.05568677,-0.039703898,-0.81635135,-0.1857834,-0.09140729,0.10937348,0.10066084,-0.39320016,0.08353002,0.5806291,-0.09344288,0.60848385,-0.16917723,-0.36295256,-0.03501657,0.40051416,0.41201657,0.10423148,-0.095385015,-0.13877366,0.24563019,-0.25782964,0.31465077,0.23229007,-0.49527037,-0.03142896,0.5971871,-0.17798492,-0.024922213999999998,-0.024998302000000003,0.15604714,0.14206763,0.6101694999999999,0.17263594,-0.14984842,0.01988078,0.10200133,-0.7727704000000001,0.11409621,-0.27022976,-0.32898644,0.5366908,-0.047151975,0.12484935,-0.30096278,-0.29639924,-0.13425039,-0.19265848,-0.25554445,-0.09843377,-0.22097063,0.73354465,0.089114234,-0.017940924,0.04146291,0.86244196,-0.39785385,-0.14385729,0.3157514,-0.44039209999999995,-0.044349737,-0.04256964,-0.7022299,-0.27680814,-0.11796221,-0.06947048,1
0.17518012,0.18249433,0.11766462,-0.042170487,-0.17359827,-0.42860562,-0.082964525,0.7905858,0.4395692,0.95543426,0.67852557,-0.42275569999999996,0.017335293999999998,0.17773692,-0.015100937,-0.56698793,0.33317965,0.33297259999999995,-0.10247508400000001,0.08888360000000001,-0.11047997,0.3391488,-0.08430562,0.6073298,0.717477,-0.21381657,-0.19443692,0.14983396,0.21938159,0.30057842,0.4340698,-0.37946275,0.72550356,-0.9352353000000001,-0.27725232,-0.32797077,0.45743500000000004,0.5115985,-0.47270387,0.54705864,0.5943144,-0.05543836,-0.2029766,-0.26033148,0.14208062,0.7278456,-0.63007826,0.8813738999999999,-0.15216297,0.3465632,-0.9945556000000001,0.28706014,0.46227098,-0.0011136046,0.29406068,0.7663713000000001,-0.572893,0.2973755,0.31661037,0.09183613,0.14574432,0.063145906,0.26981303,-0.23679751,-0.15255992,-0.24675074,0.057649884000000005,0.65182287,0.11507881,0.7318996,0.7120616,-0.3834697,-0.04826991,0.26275694,-0.09850028,-0.27713925,0.14755547,0.116725385,-0.24252596,-0.03758417,0.044370398,0.21717885,0.011859393999999999,0.48896927,0.5975869,-0.21505333,-0.22539394,0.05046169,0.29724237,-0.09140992,0.49842945,-0.37059948,0.6675909999999999,-0.7689294,-0.208941,-0.19530018,0.30336362,0.26930618,-0.34907785,0.29538432,0.50599074,-0.020908473,-0.21531987,-0.16352254,0.094287544,0.779961,-0.7573816999999999,0.8073453,-0.23280859,0.37387526,-0.8098324,0.1530744,0.33969334,-0.07635019,0.34195918,0.67827576,-0.45847625,0.32290292,0.23271905,0.18535742,1
-0.29002255,-0.37326947,-0.5367875,0.2919616,0.6917963,-0.62703156,-0.33408323,-0.14848584,0.22757827,-0.040972356,0.34180957,0.2086155,0.29735094,-0.1254388,-0.28795427,-0.8753139999999999,-0.32760242,-0.23669733,-0.16273761,0.107738785,-1.0504577,0.042657584000000005,0.005919679000000001,-0.026790592999999998,-0.11843881,-0.094128214,0.63188183,-0.077695675,0.20065497,0.451586,0.06185408,-0.6440799,0.55227256,-0.0903224,0.3397363,-0.2973177,0.37930262,-0.001672421,-0.017285813,-0.93364364,0.23167793,-0.088938154,0.78697616,-0.5779659,-0.042519983,0.15836053,-0.15979815,0.43171126,0.36317033,-0.16195299,-0.6720649999999999,-0.5515179,1.3539207,0.23105723,1.1717566000000001,0.35203063,-0.56133944,0.004123541,0.80541825,0.24626386,0.74898434,-0.37191382,0.68865967,-0.1608258,0.6413675,0.37442255,-0.50571406,0.09031964,1.1622819,-0.16839495,0.37050575,0.3984598,1.8125569,0.22148716,0.7463065999999999,-0.46033599999999997,2.069306,0.6762406,-0.8873367,-0.02258856,0.7048007,0.6188296,0.78275585,0.76076424,1.3621348,-0.15515488,0.026234387999999997,0.39589393,0.61081547,-1.7288823,0.72603685,-0.0076418677,-0.04601929,1.5312127,-1.3896203,-0.6141423,-0.011973329,-0.13236143,0.09812062,-0.62150896,0.7097825,0.31446454,1.2729127,-1.3364496000000001,-1.0265925999999999,0.5786486,0.6993497,1.2120503,0.9420299999999999,0.21344112,-0.33904487,-0.18832688,0.29193547,-0.24066342,0.22836332,-0.7147101,-1.2005816,-0.2855663,-1.0590966,-0.14094459,0
-0.08160278,-0.3657229,0.21404436,0.67108685,-0.20694737,0.65819454,0.03495203,-0.47265524,-0.227965,0.34702063,0.5131172,-0.14703351,0.016410116000000002,-0.23789883,0.5021402,-0.057508823,0.21051235,-0.05840027,-0.69924754,-0.13527167,0.60951716,-0.07152551,0.045750663,0.03856344,0.30571149999999997,0.10134416,0.59117967,0.021039505,0.12321661,-0.19411081,-0.18755083,-0.9472497,0.015643016000000003,-0.28986448,-0.30268252,0.5777958000000001,0.11159554,0.3691326,-0.32171577,-0.21929947,-0.059267204000000004,-0.078790665,-0.45293479999999997,-0.14480577,-0.35976776,0.7733946,0.04567541,0.12342516,-0.01586873,0.8946829,-0.39941844,-0.21468247,0.44080820000000004,-0.6721081999999999,-0.25819746,-0.014078868999999999,-0.83943653,-0.32903948,0.026595756,0.10523408,0.10066084,-0.39320016,0.08353002,0.5806291,-0.09344288,0.60848385,-0.16917723,-0.36295256,-0.03501657,0.40051416,0.41201657,0.10423148,-0.095385015,-0.13877366,0.24563019,-0.25782964,0.31465077,0.23229007,-0.49527037,-0.03142896,0.5971871,-0.17798492,-0.024922213999999998,-0.024998302000000003,0.15604714,0.14206763,0.6101694999999999,0.17263594,-0.14984842,0.01988078,0.10200133,-0.7727704000000001,0.11409621,-0.27022976,-0.32898644,0.5366908,-0.047151975,0.12484935,-0.30096278,-0.29639924,-0.13425039,-0.19265848,-0.25554445,-0.09843377,-0.22097063,0.73354465,0.089114234,-0.017940924,0.04146291,0.86244196,-0.39785385,-0.14385729,0.3157514,-0.44039209999999995,-0.044349737,-0.04256964,-0.7022299,-0.27680814,-0.11796221,-0.06947048,1
0.56988966,-0.5049339,-0.50358814,0.26191652,-0.33589035,0.19282565,-0.12983227,-0.31412488,1.2494038,-0.003767956,1.0234995999999998,-0.1450533,0.27166098,0.6884273,-0.7632473000000001,0.2927788,0.06202126,0.61598045,-0.09719504400000001,0.32803905,0.30229264,-0.8205469000000001,-0.75175905,-0.14417335,0.021786822,0.09920904,-0.39840326,-0.70429164,0.41629040000000006,-0.2101652,-0.08188842,-0.5902116,0.5886802,-0.74305207,-0.54338807,0.3074304,-0.57836527,0.07344017,0.15089329,0.70638174,-0.47578862,-0.10703008,0.45155644,-0.50756514,-0.76622415,0.29906234,0.5852271,0.7063554,-0.26133358,0.17327036,-0.63352203,-0.6502669,0.5188152,0.06891332,-0.28950435,-0.024776619,-0.4229437,-0.14268917,-0.36138463,-0.19647302,-0.3617137,-0.23824087,0.33648390000000006,-0.24961272,0.15883876,-0.38758472,0.22347747,0.5963387,0.38817525,-0.28892127,0.28421494,0.36548278,0.09097695,0.41802290000000003,0.43397176,-0.51692575,-0.26349467,0.20455408,-0.26113364,-0.41269988,0.11150858,-0.07381896,-0.56912816,-0.56465274,-0.029769128,-0.5837226,-0.2019146,-0.21736911,-0.42222497,-0.1435499,-0.28720602,-0.23865111,0.25835210000000003,-0.19102344,-0.6898437,-0.42112407,-0.037575055,0.58710414,-0.37651926,-0.34734866,0.17243433,0.07635112,0.7570069,0.20933343,-0.26347062,0.3491586,-0.09647225599999999,-0.47410053,0.33135903,-0.123099044,-0.1122407,0.02926966,0.026519109,-0.20269334,0.017665112,0.052652568,0.08621462,-0.67248607,0.14972714,0.31156987,0
